full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,55406,55406,4013,160,160,15,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,13877,13877,3289,82,82,11,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25342,25342,1987,34,34,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,15686,15686,1353,113,113,6,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,19999,19999,1135,34,34,4,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5050,5050,1363,11,11,0,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8314,8314,1102,13,13,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7593,7593,851,25,25,3,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3461,3461,518,5,5,1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,4020,4020,361,50,50,5,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,2811,2811,381,4,4,1,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5281,5281,200,0,0,0,https://github.com/kodu-ai/claude-coder
obra/superpowers,17568,17568,1381,567,567,42,https://github.com/obra/superpowers
Piebald-AI/claude-code-system-prompts,2912,2912,438,8,8,3,https://github.com/Piebald-AI/claude-code-system-prompts
Yuyz0112/claude-code-reverse,1916,1916,341,6,6,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6141,6141,296,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zebbern/claude-code-guide,2990,2990,263,7,7,1,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,2060,2060,440,1,1,0,https://github.com/disler/claude-code-hooks-mastery
Cranot/claude-code-guide,2241,2241,247,0,0,0,https://github.com/Cranot/claude-code-guide
eyaltoledano/claude-task-master,24765,24765,2379,3,3,1,https://github.com/eyaltoledano/claude-task-master
fuergaosi233/claude-code-proxy,1868,1868,253,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,551,551,598,1,1,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3313,3313,243,2,2,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,25079,25079,2767,32,32,6,https://github.com/wshobson/agents
anthropics/skills,37960,37960,3447,305,305,28,https://github.com/anthropics/skills
anthropics/claude-code-security-review,2822,2822,207,4,4,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,361,361,476,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
github/spec-kit,61764,61764,5363,68,68,3,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,789,789,397,2,2,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1059,1059,167,1,1,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,5438,5438,687,4,4,0,https://github.com/siteboon/claudecodeui
edmund-io/edmunds-claude-code,887,887,185,1,1,0,https://github.com/edmund-io/edmunds-claude-code
lst97/claude-code-sub-agents,1305,1305,218,1,1,0,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,821,821,189,0,0,1,https://github.com/sugyan/claude-code-webui
ComposioHQ/awesome-claude-skills,17889,17889,1844,160,160,14,https://github.com/ComposioHQ/awesome-claude-skills
frankbria/ralph-claude-code,1790,1790,125,231,231,14,https://github.com/frankbria/ralph-claude-code
rizethereum/claude-code-requirements-builder,1725,1725,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
nishimoto265/Claude-Code-Communication,469,469,219,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1633,1633,159,1,1,0,https://github.com/centminmod/my-claude-code-setup
router-for-me/CLIProxyAPI,6304,6304,956,40,40,5,https://github.com/router-for-me/CLIProxyAPI
andrepimenta/claude-code-chat,967,967,141,-1,-1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19895,19895,1531,4,4,-1,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3635,3635,1112,8,8,2,https://github.com/EnzeD/vibe-coding
darcyegb/ClaudeCodeAgents,458,458,41,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
peterkrueck/Claude-Code-Development-Kit,1270,1270,144,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,993,993,114,0,0,1,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1145,1145,140,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
revfactory/claude-code-mastering,734,734,117,0,0,0,https://github.com/revfactory/claude-code-mastering
disler/claude-code-hooks-multi-agent-observability,893,893,273,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,943,943,104,1,1,1,https://github.com/wasabeef/claude-code-cookbook
JessyTsui/Claude-Code-Remote,944,944,103,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
EveryInc/compound-engineering-plugin,4505,4505,382,14,14,3,https://github.com/EveryInc/compound-engineering-plugin
0xfurai/claude-code-subagents,624,624,123,0,0,0,https://github.com/0xfurai/claude-code-subagents
zed-industries/claude-code-acp,723,723,107,1,1,0,https://github.com/zed-industries/claude-code-acp
opactorai/Claudable,3584,3584,553,3,3,0,https://github.com/opactorai/Claudable
upstash/context7,41586,41586,2031,30,30,0,https://github.com/upstash/context7
anthropics/claude-agent-sdk-python,4057,4057,538,8,8,1,https://github.com/anthropics/claude-agent-sdk-python
superdesigndev/superdesign,5699,5699,656,2,2,0,https://github.com/superdesigndev/superdesign
kn1026/cc,696,696,265,-1,-1,0,https://github.com/kn1026/cc
