full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,47704,47704,3339,59,59,3,https://github.com/anthropics/claude-code
shareAI-lab/analysis_claude_code,11692,11692,3038,1,1,1,https://github.com/shareAI-lab/analysis_claude_code
musistudio/claude-code-router,23776,23776,1868,4,4,1,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,18393,18393,1040,7,7,1,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,12887,12887,1144,19,19,3,https://github.com/davila7/claude-code-templates
anthropics/claude-code-action,4405,4405,1285,2,2,0,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,7782,7782,1037,5,5,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,6117,6117,655,14,14,1,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3306,3306,494,1,1,0,https://github.com/OneRedOak/claude-code-workflows
kodu-ai/claude-coder,5293,5293,200,0,0,-1,https://github.com/kodu-ai/claude-coder
1rgs/claude-code-proxy,2657,2657,365,3,3,1,https://github.com/1rgs/claude-code-proxy
Maciek-roboblog/Claude-Code-Usage-Monitor,5962,5962,289,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,1834,1834,327,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
disler/claude-code-hooks-mastery,1969,1969,429,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2782,2782,245,1,1,0,https://github.com/zebbern/claude-code-guide
eyaltoledano/claude-task-master,24357,24357,2359,2,2,0,https://github.com/eyaltoledano/claude-task-master
Cranot/claude-code-guide,2215,2215,244,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,536,536,597,0,0,0,https://github.com/anthropics/claude-code-base-action
